Pick,Team,Player,Pos,College
1,Chicago Bears,Caleb Williams,QB,USC
2,Washington Commanders,Jayden Daniels,QB,LSU
3,New England Patriots,Drake Maye,QB,UNC
4,Arizona Cardinals,Marvin Harrison Jr.,WR,Ohio State
5,Minnesota Vikings (from LAC),J.J. McCarthy,QB,Michigan
6,New York Giants,Malik Nabers,WR,LSU
7,Tennessee Titans,Joe Alt,OT,Notre Dame
8,Atlanta Falcons,Dallas Turner,EDGE,Alabama
9,Chicago Bears,Rome Odunze,WR,Washington
10,New York Jets,Brock Bowers,TE,Georgia
11,Los Angeles Chargers (from MIN),JC Latham,OT,Alabama
12,Denver Broncos,Quinyon Mitchell,CB,Toledo
13,Las Vegas Raiders,Taliese Fuaga,OT,Oregon State
14,New Orleans Saints,Olu Fashanu,OT,Penn State
15,Indianapolis Colts,Terrion Arnold,CB,Alabama
16,Seattle Seahawks,Troy Fautanu,OG,Washington
17,Jacksonville Jaguars,Cooper DeJean,CB,Iowa
18,Cincinnati Bengals,Byron Murphy II,DT,Texas
19,Los Angeles Rams,Laiatu Latu,EDGE,UCLA
20,Pittsburgh Steelers,Graham Barton,OG/C,Duke
21,Miami Dolphins,Jared Verse,EDGE,Florida State
22,Philadelphia Eagles,Nate Wiggins,CB,Clemson
23,Los Angeles Chargers (from MIN),Xavier Worthy,WR,Texas
24,Dallas Cowboys,Tyler Guyton,OT,Oklahoma
25,Green Bay Packers,Amarius Mims,OT,Georgia
26,Tampa Bay Buccaneers,Chop Robinson,EDGE,Penn State
27,Arizona Cardinals,Darius Robinson,DL,Missouri
28,Buffalo Bills,Brian Thomas Jr.,WR,LSU
29,Detroit Lions,Adonai Mitchell,WR,Texas
30,Baltimore Ravens,Kool-Aid McKinstry,CB,Alabama
31,San Francisco 49ers,Roger Rosengarten,OT,Washington
32,Kansas City Chiefs,Xavier Legette,WR,South Carolina
