Pick,Team,Player,Pos,College
1,Chicago Bears (via CAR),Caleb Williams,QB,USC
2,Washington Commanders,Jayden Daniels,QB,LSU
3,New England Patriots,Drake Maye,QB,North Carolina
4,Arizona Cardinals,Marvin Harrison Jr.,WR,Ohio State
5,Los Angeles Chargers,Joe Alt,OT,Notre Dame
6,New York Giants,Malik Nabers,WR,LSU
7,Tennessee Titans,Rome Odunze,WR,Washington
8,Atlanta Falcons,Dallas Turner,Edge,Alabama
9,Chicago Bears,Laiatu Latu,Edge,UCLA
10,New York Jets,Taliese Fuaga,OT,Oregon State
11,Minnesota Vikings,Jared Verse,Edge,Florida State
12,Denver Broncos,J.J. McCarthy,QB,Michigan
13,Las Vegas Raiders,Olumuyiwa Fashanu,OT,Penn State
14,New Orleans Saints,JC Latham,OT,Alabama
15,Indianapolis Colts,Terrion Arnold,CB,Alabama
16,Seattle Seahawks,Brock Bowers,TE,Georgia
17,Jacksonville Jaguars,Nate Wiggins,CB,Clemson
18,Cincinnati Bengals,Jer'Zhan Newton,DT,Illinois
19,Los Angeles Rams,Chop Robinson,Edge,Penn State
20,Pittsburgh Steelers,Amarius Mims,OT,Georgia
21,Miami Dolphins,Troy Fautanu,OT,Washington
22,Philadelphia Eagles,Quinyon Mitchell,CB,Toledo
23,Houston Texans (via CLE),Byron Murphy II,DT,Texas
24,Dallas Cowboys,Tyler Guyton,OT,Oklahoma
25,Green Bay Packers,Cooper DeJean,CB,Iowa
26,Tampa Bay Buccaneers,Brian Thomas Jr.,WR,LSU
27,Arizona Cardinals (via HOU),Kool-Aid McKinstry,CB,Alabama
28,Buffalo Bills,Keon Coleman,WR,Florida State
29,Detroit Lions,Bralen Trice,Edge,Washington
30,Baltimore Ravens,Jordan Morgan,OT,Arizona
31,San Francisco 49ers,Graham Barton,IOL,Duke
32,Kansas City Chiefs,Darius Robinson,DL,Missouri
