Pick,Team,Player,Pos,College
1,Carolina Panthers (from CHI),Bryce Young,QB,Alabama
2,Houston Texans,Will Anderson Jr.,OLB,Alabama
3,Tennessee Titans (from ARI),C.J. Stroud,QB,Ohio State
4,Indianapolis Colts,Will Levis,QB,Kentucky
5,Seattle Seahawks (from DEN),Jalen Carter,DT,Georgia
6,Detroit Lions (from LAR),Devon Witherspoon,CB,Illinois
7,Las Vegas Raiders,Christian Gonzalez,CB,Oregon
8,Atlanta Falcons,Tyree Wilson,DE,Texas Tech
9,Chicago Bears (from CAR),Paris Johnson Jr.,OT,Ohio State
10,Philadelphia Eagles (from NOS),Bijan Robinson,RB,Texas
11,Arizona Cardinals (from TEN),Lukas Van Ness,DL,Iowa
12,Houston Texans (from CLE),Zay Flowers,WR,Boston College
13,Green Bay Packers (from NYJ),Darnell Wright,OT,Tennessee
14,New England Patriots,Nolan Smith,OLB,Georgia
15,Minnesota Vikings (from GB via NYJ),Anthony Richardson,QB,Florida
16,Washington Commanders,Peter Skoronski,OT/G,Northwestern
17,Pittsburgh Steelers,Deonte Banks,CB,Maryland
18,Detroit Lions,Michael Mayer,TE,Notre Dame
19,Tampa Bay Buccaneers,Broderick Jones,OT,Georgia
20,Seattle Seahawks,Myles Murphy,DE,Clemson
21,Los Angeles Chargers,Jahymr Gibbs,RB,Alabama
22,Baltimore Ravens,Jaxon Smith-Njigba,WR,Ohio State
23,New York Jets (from MIN),Anton Harrison,OT,Oklahoma
24,Jacksonville Jaguars,Emmanuel Forbes,CB,Mississippi
25,New York Giants,Joey Porter Jr.,CB,Penn State
26,Dallas Cowboys,Dalton Kincaid,TE,Utah
27,Buffalo Bills,Jordan Addison,WR,USC
28,Cincinnati Bengals,Calijah Kancey,DT,Pittsburgh
29,"New Orleans Saints (from SF, via MIA and DEN)",Mazi Smith,DT,Michigan
30,Houston Texans (from PHI),Hendon Hooker,QB,Tennessee
31,Kansas City Chiefs,Will McDonald IV,DE,Iowa State
