Pick,Team,Player,Pos,College
1,Chicago Bears,Caleb Williams,QB,USC
2,Washington Commanders,Drake Maye,QB,North Carolina
3,New England Patriots,Jayden Daniels,QB,LSU
4,Arizona Cardinals,J.J. McCarthy,QB,Michigan
5,Los Angeles Chargers,Joe Alt,OT,Notre Dame
6,New York Giants,Malik Nabers,WR,LSU
7,Tennessee Titans,JC Latham,OT,Alabama
8,Atlanta Falcons,Dallas Turner,DE,Alabama
9,Chicago Bears,Marvin Harrison Jr,WR,Ohio State
10,New York Jets,Olumuyiwa Fashanu,OT,Penn State
11,Arizona Cardinals (from MIN),Quinyon Mitchell,CB,Toledo
12,Denver Broncos,Bo Nix,QB,Oregon
13,Las Vegas Raiders,Taliese Fuaga,OT,Oregon State
14,New Orleans Saints,Rome Odunze,WR,Washington
15,Indianapolis Colts,Terrion Arnold,CB,Alabama
16,Seattle Seahawks,Troy Fautanu,G,Washington
17,Jacksonville Jaguars,Brian Thomas Jr,WR,LSU
18,Cincinnati Bengals,Amarius Mims,OT,Georgia
19,Los Angeles Rams,Michael Penix Jr,QB,Washington
20,Pittsburgh Steelers,Adonai Mitchell,WR,Texas
21,Miami Dolphins,Jackson Powers-Johnson,C,Oregon
22,Philadelphia Eagles,Brock Bowers,TE,Georgia
23,Minnesota Vikings,Jer'Zhan Newton,DT,Illinois
24,Dallas Cowboys,Byron Murphy II,DT,Texas
25,Green Bay Packers,Tyler Guyton,OT,Oklahoma
26,Tampa Bay Buccaneers,Cooper DeJean,CB,Iowa
27,Arizona Cardinals,Ladd McConkey,WR,Georgia
28,Buffalo Bills,Xavier Worthy,WR,Texas
29,Detroit Lions,Laiatu Latu,DE,UCLA
30,Baltimore Ravens,Jared Verse,DE,Florida State
31,San Francisco 49ers,Braden Fiske,DT,Florida State
32,Kansas City Chiefs,Jordan Morgan,OT,Arizona
