Pick,Team,Player,Pos,College
1,Tennessee Titans,Cam Ward,QB,Miami
2,Cleveland Browns,Travis Hunter,CB/WR,Colorado
3,New York Giants,Mason Graham,DT,Michigan
4,New England Patriots,Armand Membou,OT/G,Missouri
5,Jacksonville Jaguars,Abdul Carter,DE,Penn State
6,Las Vegas Raiders,Ashton Jeanty,RB,Boise State
7,New York Jets,Will Campbell,OT/G,LSU
8,Carolina Panthers,Jalon Walker,LB/DE,Georgia
9,New Orleans Saints,Mykel Williams,DE,Georgia
10,Pittsburgh Steelers (from CHI),Shedeur Sanders,QB,Colorado
11,San Francisco 49ers,Will Johnson,CB,Michigan
12,Dallas Cowboys,Tetairoa McMillan,WR,Arizona
13,Miami Dolphins,Josh Simmons,OT,Ohio State
14,Indianapolis Colts,Tyler Warren,TE,Penn State
15,Atlanta Falcons,Kenneth Grant,DT,Michigan
16,Arizona Cardinals,Matthew Golden,WR,Texas
17,Cincinnati Bengals,James Pearce Jr.,DE,Tennessee
18,Seattle Seahawks,Tyler Booker,G,Alabama
19,Tampa Bay Buccaneers,Jihaad Cambell,LB,Alabama
20,Denver Broncos,Omarion Hampton,RB,North Carolina
21,Chicago Bears (from PIT),Shemar Stewart,DE,Texas A&M
22,Los Angeles Chargers,Colston Loveland,TE,Michigan
23,Green Bay Packers,Shavon Revel Jr,CB,East Carolina
24,Minnesota Vikings,Jahdae Barron,CB,Texas
25,Houston Texans,Kelvin Banks Jr,OT,Texas
26,Los Angeles Rams,Jaxson Dart,QB,Ole Miss
27,Baltimore Ravens,Mike Green,DE,Marshall
28,Detroit Lions,Malaki Starks,S,Georgia
29,Washington Commanders,Maxwell Hairston,CB,Kentucky
30,Buffalo Bills,Emeka Egbuka,WR,Ohio State
31,Kansas City Chiefs,Nick Emmanwori,S,South Carolina
32,Philadelphia Eagles,Grey Zabel,G,North Dakota State
