Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Travon Walker,DE,Georgia
2,Detroit Lions,Aidan Hutchinson,DE,Michigan
3,Houston Texans,Ikem Ekwonu,OT,N.C. State
4,New York Jets,Sauce Gardner,CB,Cincinnati
5,New York Giants,Charles Cross,OT,Mississippi State
6,Carolina Panthers,Evan Neal,OT,Alabama
7,New York Giants (from CHI),Jermaine Johnson II,DE,Florida State
8,Atlanta Falcons,Garrett Wilson,WR,Ohio State
9,Seattle Seahawks (from DEN),Derek Stingley Jr.,CB,LSU
10,New York Jets (from SEA),Drake London,WR,USC
11,Washington Commanders,Chris Olave,WR,Ohio State
12,Minnesota Vikings,Kayvon Thibodeaux,DE,Oregon
13,Houston Texans (from CLE),Kyle Hamilton,S,Notre Dame
14,Baltimore Ravens,Jordan Davis,DT,Georgia
15,Philadelphia Eagles (from MIA),Jameson Williams,WR,Alabama
16,New Orleans Saints (from IND via PHI),Trevor Penning,OT,Northern Iowa
17,Los Angeles Chargers,Devin Lloyd,ILB,Utah
18,Philadelphia Eagles (from NO),Trent McDuffie,CB,Washington
19,New Orleans Saints (from PHI),Kenny Pickett,QB,Pitt
20,Pittsburgh Steelers,Malik Willis,QB,Liberty
21,New England Patriots,Daxton Hill,S,Michigan
22,Green Bay Packers (from LV),Kenyon Green,G,Texas A&M
23,Arizona Cardinals,Zion Johnson,G/C,Boston College
24,Dallas Cowboys,Tyler Smith,OT/G,Tulsa
25,Buffalo Bills,Kaiir Elam,CB,Florida
26,Tennessee Titans,Jahan Dotson,WR,Penn State
27,Tampa Bay Buccaneers,Devonte Wyatt,DT,Georgia
28,Green Bay Packers,Christin Watson,WR,North Dakota State
29,Kansas City Chiefs (from SF via MIA),Skyy Moore,WR,Western Michigan
30,Kansas City Chiefs,Arnold Ebiketie,DE,Penn State
31,Cincinnati Bengals,George Karlaftis,DE,Purdue
32,Detroit Lions (from LAR),Lewis Cine,S,Georgia
