Pick,Team,Player,Pos,College
1,Chicago Bears,Jalen Carter,DT,Georgia
2,Houston Texans,Bryce Young,QB,Alabama
3,Arizona Cardinals,Tyree Wilson,Edge,Texas Tech
4,Indianapolis Colts,C.J. Stroud,QB,Ohio State
5,Seattle Seahawks,Will Anderson Jr.,Edge,Alabama
6,Detroit Lions,Myles Murphy,Edge,Clemson
7,Las Vegas Raiders,Will Levis,QB,Kentucky
8,Atlanta Falcons,Lukas Van Ness,Edge,Iowa
9,Carolina Panthers,Peter Skoronski,OL,Northwestern
10,Philadelphia Eagles,Devon Witherspoon,CB,Illinois
11,Tennessee Titans,Paris Johnson Jr.,OT,Ohio State
12,Houston Texans,Jordan Addison,WR,USC
13,New York Jets,Broderick Jones,OT,Georgia
14,New England Patriots,Christian Gonzalez,CB,Oregon
15,Green Bay Packers,Dalton Kincaid,TE,Utah
16,Washington Commanders,Joey Porter Jr.,CB,Penn State
17,Pittsburgh Steelers,Darnell Wright,OT,Tennessee
18,Detroit Lions,Anthony Richardson,QB,Florida
19,Tampa Bay Buccaneers,Bijan Robinson,RB,Texas
20,Seattle Seahawks,Jaxon Smith-Njigba,WR,Ohio State
21,Los Angeles Chargers,Quentin Johnston,WR,TCU
22,Baltimore Ravens,Brian Branch,CB,Alabama
23,Minnesota Vikings,Deonte Banks,CB,Maryland
24,Jacksonville Jaguars,Bryan Bresee,DT,Clemson
25,New York Giants,Jalin Hyatt,WR,Tennessee
26,Dallas Cowboys,Keion White,Edge,Georgia Tech
27,Buffalo Bills,O'Cyrus Torrence,IOL,Florida
28,Cincinnati Bengals,Michael Mayer,TE,Notre Dame
29,New Orleans Saints,Zay Flowers,WR,Boston College
30,Philadelphia Eagles,Felix Anudike-Uzomah,Edge,Kansas State
31,Kansas City Chiefs,Nolan Smith,Edge,Georgia
32,Detroit Lions,Jordan Davis,DT,Georgia
