Pick,Team,Player,Pos,College
1,Chicago Bears (via CAR),Caleb Williams,QB,USC
2,Washington Commanders,Jayden Daniels,QB,LSU
3,New England Patriots,Drake Maye,QB,North Carolina
4,Arizona Cardinals,Marvin Harrison Jr.,WR,Ohio State
5,Los Angeles Chargers,JC Latham,OT,Alabama
6,New York Giants,Rome Odunze,WR,Washington
7,Tennessee Titans,Joe Alt,OT,Notre Dame
8,Atlanta Falcons,Dallas Turner,OLB,Alabama
9,Chicago Bears,Malik Nabers,WR,LSU
10,New York Jets,Brock Bowers,TE,Georgia
11,Minnesota Vikings,Jared Verse,DE,Florida State
12,Denver Broncos,J.J. McCarthy,QB,Michigan
13,Las Vegas Raiders,Byron Murphy II,DT,Texas
14,New Orleans Saints,Olu Fashanu,OT,Penn State
15,Indianapolis Colts,Terrion Arnold,CB,Alabama
16,Seattle Seahawks,Troy Fautanu,G,Washington
17,Jacksonville Jaguars,Quinyon Mitchell,CB,Toledo
18,Cincinnati Bengals,Taliese Fuaga,OT,Oregon State
19,Los Angeles Rams,Cooper DeJean,CB,Iowa
20,Pittsburgh Steelers,Nate Wiggins,CB,Clemson
21,Miami Dolphins,Graham Barton,C,Duke
22,Philadelphia Eagles,Laiatu Latu,OLB,UCLA
23,Houston Texans (via CLE),Tyler Guyton,OT,Oklahoma
24,Dallas Cowboys,Amarius Mims,OT,Georgia
25,Green Bay Packers,Jordan Morgan,OT,Arizona
26,Tampa Bay Buccaneers,Keon Coleman,WR,Florida State
27,Arizona Cardinals (via HOU),Darius Robinson,DL,Missouri
28,Buffalo Bills,Brian Thomas Jr.,WR,LSU
29,Detroit Lions,T.J. Tampa,CB,Iowa State
30,Baltimore Ravens,Kamari Lassiter,CB,Georgia
31,San Francisco 49ers,Chop Robinson,OLB,Penn State
32,Kansas City Chiefs,Xavier Worthy,WR,Texas
