Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Aidan Hutchinson,DE,Michigan
2,Detroit Lions,Kayvon Thibodeaux,DE,Oregon
3,Houston Texans,Evan Neal,OT,Alabama
4,New York Jets,Kyle Hamilton,S,Notre Dame
5,New York Giants,Ikem Ekwonu,OT,NC State
6,Carolina Panthers,Charles Cross,OT,Mississippi State
7,New York Giants (via CHI),David Ojabo,OLB,Michigan
8,Atlanta Falcons,Derek Stingley Jr.,CB,LSU
9,Denver Broncos,Nakobe Dean,ILB,Georgia
10,New York Jets (via SEA),Drake London,WR,USC
11,Washington Football Team,Malik Willis,QB,Liberty
12,Minnesota Vikings,"Ahmad ""Sauce"" Gardner",CB,Cincinnati
13,Cleveland Browns,Garrett Wilson,WR,Ohio State
14,Baltimore Ravens,Tyler Linderbaum,C,Iowa
15,Philadelphia Eagles (via MIA),Devin Lloyd,ILB,Utah
16,Philadelphia Eagles (via IND),Arnold Ebiketie,DE,Penn State
17,Los Angeles Chargers,Jordan Davis,DT,Georgia
18,New Orleans Saints,Kenny Pickett,QB,Pitt
19,Philadelphia Eagles,Chris Olave,WR,Ohio State
20,Pittsburgh Steelers,Matt Corral,QB,Ole Miss
21,New England Patriots,Jameson Williams,WR,Alabama
22,Las Vegas Raiders,Andrew Booth Jr.,CB,Clemson
23,Arizona Cardinals,George Karlaftis,DE,Purdue
24,Dallas Cowboys,Travon Walker,DE,Georgia
25,Cincinnati Bengals,Trevor Penning,OT,Northern Iowa
26,Miami Dolphins (via SF),Jahan Dotson,WR,Penn State
27,Buffalo Bills,Trent McDuffie,CB,Washington
28,Detroit Lions (via LAR),Sam Howell,QB,North Carolina
29,Kansas City Chiefs,Cameron Thomas,DE,San Diego State
30,Tampa Bay Buccaneers,DeMarvin Leal,DL,Texas A&M
31,Tennessee Titans,Kyler Gordon,CB,Washington
32,Green Bay Packers,Trey McBride,TE,Colorado State
