Pick,Team,Player,Pos,College
1,Chicago Bears,Jalen Carter,DT,Georgia
2,Houston Texans,Bryce Young,QB,Alabama
3,Arizona Cardinals,Will Anderson Jr.,Edge,Alabama
4,Indianapolis Colts,C.J. Stroud,QB,Ohio State
5,Seattle Seahawks,Tyree Wilson,Edge,Texas Tech
6,Detroit Lions,Myles Murphy,Edge,Clemson
7,Las Vegas Raiders,Will Levis,QB,Kentucky
8,Atlanta Falcons,Peter Skoronski,OT,Northwestern
9,Carolina Panthers,O'Cyrus Torrence,OG,Florida
10,Philadelphia Eagles,Paris Johnson Jr.,OT,Ohio State
11,Tennessee Titans,Broderick Jones,OT,Georgia
12,Houston Texans (via CLE),Jordan Addison,WR,USC
13,New York Jets,Bryan Bresee,DT,Clemson
14,New England Patriots,Brian Branch,DB,Alabama
15,Green Bay Packers,Michael Mayer,TE,Notre Dame
16,Washington Commanders,Christian Gonzalez,CB,Oregon
17,Pittsburgh Steelers,Joey Porter Jr.,CB,Penn State
18,Detroit Lions,Devon Witherspoon,CB,Illinois
19,Tampa Bay Buccaneers,Keion White,Edge,Georgia Tech
20,Seattle Seahawks,Kelee Ringo,CB,Georgia
21,Los Angeles Chargers,Bijan Robinson,RB,Texas
22,Baltimore Ravens,Jaxon Smith-Njigba,WR,Ohio State
23,Minnesota Vikings,Emmanuel Forbes,CB,Mississippi State
24,Jacksonville Jaguars,Dalton Kincaid,TE,Utah
25,New York Giants,Zay Flowers,WR,Boston College
26,Dallas Cowboys,Quentin Johnston,WR,TCU
27,Buffalo Bills,Antonio Johnson,S,Texas A&M
28,Cincinnati Bengals,Cam Smith,CB,South Carolina
29,New Orleans Saints,Jahmyr Gibbs,RB,Alabama
30,Philadelphia Eagles,Lukas Van Ness,Edge,Iowa
31,Kansas City Chiefs,Jalin Hyatt,WR,Tennessee
32,Detroit Lions (via Rams),Travon Walker,DL,Georgia
