Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Travon Walker,EDGE,Georgia
2,Detroit Lions,Aidan Hutchinson,EDGE,Michigan
3,Houston Texans,Ikem Ekwonu,OT,N.C. State
4,New York Jets,Sauce Gardner,CB,Cincinnati
5,New York Giants,Evan Neal,OT,Alabama
6,Carolina Panthers,Charles Cross,OT,Mississippi State
7,New York Giants (from CHI),Garrett Wilson,WR,Ohio State
8,Atlanta Falcons,Jameson Williams,WR,Alabama
9,New York Jets (from DEN via SEA),Drake London,WR,USC
10,Seattle Seahawks (from NYJ),Kayvon Thibodeaux,EDGE,Oregon
11,Washington Commanders,Chris Olave,WR,Ohio State
12,Minnesota Vikings,Derek Stingley Jr.,CB,LSU
13,Houston Texans (from CLE),Jermaine Johnson II,EDGE,Florida State
14,Baltimore Ravens,Jordan Davis,DT,Georgia
15,Philadelphia Eagles (from MIA),Kyle Hamilton,S,Notre Dame
16,New Orleans Saints (from IND via PHI),Trevor Penning,OT,Northern Iowa
17,Los Angeles Chargers,Kaiir Elam,CB,Florida
18,Philadelphia Eagles (from NWO),Trent McDuffie,CB,Washington
19,New Orleans Saints (from PHI),Devin Lloyd,LB,Utah
20,Pittsburgh Steelers,Kennny Pickett,QB,Pitt
21,New England Patriots,Zion Johnson,IOL,Boston College
22,Green Bay Packers (from LV),Treylon Burks,WR,Arkansas
23,Arizona Cardinals,George Karlaftis,EDGE,Purdue
24,Dallas Cowboys,Jahan Dotson,WR,Penn State
25,Buffalo Bills,Breece Hall,RB,Iowa State
26,Tennessee Titans,Tyler Smith,OT,Tulsa
27,Tampa Bay Buccaneers,Logan Hall,DL,Houston
28,Green Bay Packers,Quay Walker,LB,Georgia
29,Kansas City Chiefs (from SF via MIA),Boye Mafe,EDGE,Minnesota
30,Kansas City Chiefs,George Pickens,WR,Georgia
31,Cincinnati Bengals,David Ojabo,EDGE,Michigan
32,Detroit Lions (from LAR),Malik Willis,QB,Liberty
