Pick,Team,Player,Pos,College
1,Tennessee Titans,Abdul Carter,EDGE,Penn State
2,Cleveland Browns,Cam Ward,QB,Miami
3,New York Giants,Travis Hunter,WR/CB,Colorado
4,New England Patriots,Will Campbell,OT,LSU
5,Jacksonville Jaguars,Mason Graham,DL,Michigan
6,Las Vegas Raiders,Ashton Jeanty,RB,Boise State
7,New York Jets,Shedeur Sanders,QB,Colorado
8,Carolina Panthers,Jalon Walker,LB,Georgia
9,New Orleans Saints,Tyler Warren,TE,Penn State
10,Chicago Bears,Josh Simmons,OT,Ohio State
11,San Francisco 49ers,Will Johnson,CB,Michigan
12,Dallas Cowboys,Omarion Hampton,RB,North Carolina
13,Miami Dolphins,Armand Membou,OT,Missouri
14,Indianapolis Colts,Malaki Starks,S,Georgia
15,Atlanta Falcons,Mike Green,EDGE,Marshall
16,Arizona Cardinals,Shemar Stewart,EDGE,Texas A&M
17,Cincinnati Bengals,Mykel Williams,EDGE,Georgia
18,Seattle Seahawks,Tyler Booker,OG,Alabama
19,Tampa Bay Buccaneers,Jihaad Campbell,LB,Alabama
20,Denver Broncos,Colston Loveland,TE,Michigan
21,Pittsburgh Steelers,Emeka Egbuka,WR,Ohio State
22,Los Angeles Chargers,Tetairoa McMillan,WR,Arizona
23,Green Bay Packers,Azareye'h Thomas,CB,Florida State
24,Minnesota Vikings,Grey Zabel,OL,North Dakota State
25,Houston Texans,Kelvin Banks Jr.,OT,Texas
26,Los Angeles Rams,Josh Conerly Jr.,OT,Oregon
27,Baltimore Ravens,Nick Emmanwori,S,South Carolina
28,Detroit Lions,Oluwafemi Oladejo,EDGE,UCLA
29,Washington Commanders,Maxwell Hairston,CB,Kentucky
30,Buffalo Bills,Jahdae Barron,CB,Texas
31,Kansas City Chiefs,Aireontae Ersery,OT,Minnesota
32,Philadelphia Eagles,Walter Nolen,DL,Ole Miss
