Pick,Team,Player,Pos,College
1,Chicago Bears,Caleb Williams,QB,USC
2,Washington Commanders,Jayden Daniels,QB,LSU
3,New England Patriots,J.J. McCarthy,QB,Michigan
4,Arizona Cardinals,Marvin Harrison Jr,WR,Ohio State
5,Los Angeles Chargers,Joe Alt,OT,Notre Dame
6,New York Giants,Malik Nabers,WR,LSU
7,Tennessee Titans,Olumuyiwa Fashanu,OT,Penn State
8,Atlanta Falcons,Dallas Turner,DE,Alabama
9,Chicago Bears,Rome Odunze,WR,Washington
10,New York Jets,Brock Bowers,TE,Georgia
11,Minnesota Vikings,Drake Maye,QB,North Carolina
12,Denver Broncos,Jared Verse,DE,Florida State
13,Las Vegas Raiders,Taliese Fuaga,OT,Oregon State
14,New Orleans Saints,JC Latham,OT,Alabama
15,Indianpolis Colts,Quinyon Mitchell,CB,Toledo
16,Seattle Seahawks,Troy Fautanu,OL,Washington
17,Jacksonville Jaguars,Terrion Arnold,CB,Alabama
18,Cincinnati Bengals,Brian Thomas Jr,WR,LSU
19,Los Angeles Rams,Byron Murphy II,DT,Texas
20,Pittsburgh Steelers,Amarius Mims,OT,Georgia
21,Miami Dolphins,Jackson Powers-Johnson,OL,Oregon
22,Philadelphia Eagles,Kool-Aid McKinstry,CB,Alabama
23,Minnesota Vikings,Cooper DeJean,CB,Iowa
24,Dallas Cowboys,Graham Barton,OL,Duke
25,Green Bay Packers,Payton Wilson,LB,NC State
26,Tampa Bay Buccaneers,Laiatu latu,DE,UCLA
27,Arizona Cardinals,Darius Robinson,DE,Missouri
28,Buffalo Bills,Jer'Zhan Newton,DT,Illinois
29,Detroit Lions,Chop Robinson,DE,Penn State
30,Baltimore Ravens,Tyler Guyton,OT,Oklahoma
31,San Francisco 49ers,Nate Wiggins,CB,Clemson
32,Kansas City Chiefs,Kamari Lassiter,CB,Georgia
