Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Trevor Lawrence,QB,Clemson
2,New York Jets,Zach Wilson,QB,BYU
3,San Francisco 49ers (from HOU via MIA) ,Mac Jones,QB,Alabama
4,Atlanta Falcons,Kyle Pitts,TE,Florida
5,Cincinnati Bengals,Penei Sewell,OT,Oregon
6,Miami Dolphins (from PHI),Ja'Marr Chase,WR,LSU
7,Denver Broncos (from DET),Justin Fields,QB,Ohio State
8,Carolina Panthers,Patrick Surtain II,CB,Alabama
9,Detroit Lions (from DEN),Rashawn Slater,OT,Northwestern
10,Dallas Cowboys,Jaycee Horn,CB,South Carolina
11,New England Patriots (from NYG),Trey Lance,QB,North Dakota State
12,Philadelphia Eagles (from SF via MIA),DeVonta Smith,WR,Alabama
13,Los Angeles Chargers,Jaylen Waddle,WR,Alabama
14,Minnesota Vikings,Jaelan Phillips,DE,Miami
15,New York Giants (from NE),Micah Parsons,LB,Penn State
16,Arizona Cardinals,Zaven Collins,LB,Tulsa
17,Las Vegas Raiders,Alijah Vera-Tucker,OT,USC
18,Miami Dolphins,Kwity Paye,DE,Michigan
19,Washington Football Team,Jeremiah Owusu-Koramoah,LB,Notre Dame
20,Chicago Bears,Greg Newsome II,CB,Northwestern
21,Indianapolis Colts,Joe Tryon,DE,Washington
22,Tennessee Titans,Elijah Moore,WR,Ole Miss
23,New York Jets,Travis Etienne,RB,Clemson
24,Pittsburgh Steelers,Teven Jenkins,OT,Oklahoma State
25,Jacksonville Jaguars (from LAR),Christian Darrisaw,OT,Virginia Tech
26,Cleveland Browns,Jamin Davis,LB,Kentucky
27,Baltimore Ravens,Odafe Oweh,DE,Penn State
28,New Orleans Saints,Tyson Campbell,CB,Georgia
29,Green Bay Packers,Dillon Radunz,OT,North Dakota State
30,Buffalo Bills,Asante Samuel Jr.,CB,Florida State
31,Baltimore Ravens (from KC),Liam Eichenberg,OT,Notre Dame
32,Tampa Bay Buccaneers,Najee Harris,RB,Alabama
