Pick,Team,Player,Position,College
1,Carolina Panthers,Bryce Young,QB,Alabama
2,Houston Texans,Tyree Wilson,Edge,Texas Tech
3,Arizona Cardinals,Will Anderson Jr.,Edge,Alabama
4,Indianapolis Colts,C.J. Stroud,QB,Ohio State
5,Seattle Seahawks,Christian Gonzalez,CB,Oregon
6,Detroit Lions,Jalen Carter,DT,Georgia
7,Las Vegas Raiders,Devon Witherspoon,CB,Illinois
8,Atlanta Falcons,Lukas Van Ness,Edge,Iowa
9,Chicago Bears,Peter Skoronski,OT,Northwestern
10,Philadelphia Eagles,Myles Murphy,Edge,Clemson
11,Tennessee Titans,Paris Johnson Jr.,OT,Ohio State
12,Houston Texans,Anthony Richardson,QB,Florida
13,Green Bay Packers,Dalton Kincaid,TE,Utah
14,New England Patriots,Bijan Robinson,RB,Texas
15,New York Jets,Broderick Jones,OT,Georgia
16,Washington Commanders,Joey Porter Jr.,CB,Penn State
17,Pittsburgh Steelers,Darnell Wright,OT,Tennessee
18,Detroit Lions,Deonte Banks,CB,Maryland
19,Tampa Bay Buccaneers,Nolan Smith,Edge,Georgia
20,Seattle Seahawks,Jaxon Smith-Njigba,WR,Ohio State
21,Los Angeles Chargers,Jordan Addison,WR,USC
22,Baltimore Ravens,Zay Flowers,WR,Boston College
23,Minnesota Vikings,Emmanuel Forbes,CB,Mississippi St.
24,Jacksonville Jaguars,Brian Branch,S,Alabama
25,New York Giants,Quentin Johnston,WR,TCU
26,Dallas Cowboys,Michael Mayer,TE,Notre Dame
27,Buffalo Bills,O'Cyrus Torrence,OG,Florida
28,Cincinnati Bengals,Cam Smith,CB,South Carolina
29,New Orleans Saints,Bryan Bresee,DT,Clemson
30,Philadelphia Eagles,Will McDonald IV,Edge,Iowa State
31,Kansas City Chiefs,Felix Anudike-Uzomah,Edge,Kansas State
