Pick,Team,Player,Pos,College
1,Chicago Bears,Caleb Williams,QB,USC
2,Washington Commanders,Drake Maye,QB,North Carolina
3,New England Patriots,Marvin Harrison Jr.,WR,Ohio State
4,Arizona Cardinals,Malik Nabers,WR,LSU
5,Los Angeles Chargers,Joe Alt,OT,Notre Dame
6,New York Giants,Jayden Daniels,QB,LSU
7,Tennessee Titans,Olumuyiwa Fashanu,OT,Penn State
8,Atlanta Falcons,J.J. McCarthy,QB,Michigan
9,Chicago Bears,Rome Odunze,WR,Washington
10,New York Jets,Taliese Fuaga,OT,Oregon State
11,Minnesota Vikings,Dallas Turner,Edge,Alabama
12,Denver Broncos,Jared Verse,Edge,Florida State
13,Las Vegas Raiders,Terrion Arnold,CB,Alabama
14,New Orleans Saints,JC Latham,OT,Alabama
15,Indianapolis Colts,Nate Wiggins,CB,Clemson
16,Seattle Seahawks,Byron Murphy II,DT,Texas
17,Jacksonville Jaguars,Quinyon Mitchell,CB,Toledo
18,Cincinnati Bengals,Brock Bowers,TE,Georgia
19,Los Angeles Rams,Jackson Powers-Johnson,IOL,Oregon
20,Pittsburgh Steelers,Troy Fautanu,OT,Washington
21,Miami Dolphins,Laiatu Latu,Edge,UCLA
22,Philadelphia Eagles,Ennis Rakestraw Jr.,CB,Missouri
23,Houston Texans,Brian Thomas Jr.,WR,LSU
24,Dallas Cowboys,Tyler Guyton,OT,Oklahoma
25,Green Bay Packers,Cooper DeJean,CB,Iowa
26,Tampa Bay Buccaneers,Adonai Mitchell,WR,Texas
27,Arizona Cardinals,Darius Robinson,Edge,Missouri
28,Buffalo Bills,Chop Robinson,Edge,Penn State
29,Detroit Lions,Zach Frazier,IOL,West Virginia
30,Baltimore Ravens,Amarius Mims,OT,Georgia
31,San Francisco 49ers,Graham Barton,IOL,Duke
32,Kansas City Chiefs,Troy Franklin,WR,Oregon
