Pick,Team,Player,Pos,College
1,Carolina Panthers (from CHI),Bryce Young,QB,Alabama
2,Houston Texans,C.J. Stroud,QB,Ohio State
3,Houston Texans (from ARI),Will Anderson Jr.,EDGE,Alabama
4,Indianapolis Colts,Will Levis,QB,Kentucky
5,Seattle Seahawks (from DEN),Jalen Carter,DT,Georgia
6,Detroit Lions (from LAR),Devon Witherspoon,CB,Illinois
7,Las Vegas Raiders,Christian Gonzalez,CB,Oregon
8,Atlanta Falcons,Bijan Robinson,RB,Texas
9,Chicago Bears (from CAR),Tyree Wilson,EDGE,Texas Tech
10,Philadelphia Eagles (from NO),Nolan Smith,EDGE,Georgia
11,Tennessee Titans,Zay Flowers,WR,Boston College
12,Arizona Cardinals (from CLE via HOU),Paris Johnson Jr.,OT,Ohio State
13,Green Bay Packers (from NYJ),Dalton Kincaid,TE,Utah
14,New England Patriots,Lukas Van Ness,EDGE,Iowa
15,New York Jets (from GB),Peter Skoronski,OT,Northwestern
16,Washington Commanders,Emmanuel Forbes,CB,Mississippi
17,Pittsburgh Steelers,Broderick Jones,OT,Georgia
18,Detroit Lions,Calijah Kancey,DT,Pittsburgh
19,Tampa Bay Buccaneers,Jaxon Smith-Njigba,WR,Ohio State
20,Seattle Seahawks,Anthony Richardson,QB,Florida
21,Los Angeles Chargers,Michael Mayer,TE,Notre Dame
22,Baltimore Ravens,Deonte Banks,CB,Maryland
23,Minnesota Vikings,Jordan Addison,WR,USC
24,Jacksonville Jaguars,Joey Porter Jr.,CB,Penn State
25,New York Giants,Brian Branch,CB,Alabama
26,Dallas Cowboys,Luke Musgrave,TE,Oregon State
27,Buffalo Bills,Quentin Johnston,WR,TCU
28,Cincinnati Bengals,Keeanu Benton,DT,Wisconsin
29,"New Orleans Saints (from SF, via MIA and DEN)",Myles Murphy,EDGE,Clemson
30,Philadelphia Eagles,Jahmyr Gibbs,RB,Alabama
31,Kansas City Chiefs,Darnell Wright,OT,Tennessee
