Pick,Team,Player,Pos,College
1,Jacksonville Jaguars,Trevor Lawrence,QB,Clemson
2,New York Jets,Zach Wilson,QB,BYU
3,San Francisco 49ers (via MIA/HOU),Mac Jones,QB,Alabama
4,Atlanta Falcons,Trey Lance,QB,North Dakota State
5,Cincinnati Bengals,Penei Sewell,OT,Oregon
6,Miami Dolphins (via PHI),Ja'Marr Chase,WR,LSU
7,Detroit Lions,Jaylen Waddle,WR,Alabama
8,Carolina Panthers,Justin Fields,QB,Ohio State
9,Denver Broncos,Micah Parsons,ILB,Penn State
10,Dallas Cowboys,Patrick Surtain II,CB,Alabama
11,New York Giants,Azeez Ojulari,OLB,Georgia
12,Philadelphia Eagles (via MIA/SF),Kyle Pitts,TE,Florida
13,Los Angeles Chargers,Christian Darrisaw,OT,Virginia Tech
14,Minnesota Vikings,Kwity Paye,DE,Michigan
15,New England Patriots,DeVonta Smith,WR,Alabama
16,Arizona Cardinals,Jaycee Horn,CB,South Carolina
17,Las Vegas Raiders,Rashawn Slater,OT/G,Northwestern
18,Miami Dolphins,Alijah Vera-Tucker,G,USC
19,Washington Football Team,Jalen Mayfield,OT,Michigan
20,Chicago Bears,Caleb Farley,CB,Virginia Tech
21,Indianapolis Colts,Samuel Cosmi,OT,Texas
22,Tennessee Titans,Eric Stokes,CB,Georgia
23,New York Jets (via SEA),Zaven Collins,OLB,Tulsa
24,Pittsburgh Steelers,Creed Humphrey,C/G,Oklahoma
25,Jacksonville Jaguars (via LAR),Trevon Moehrig,S,TCU
26,Cleveland Browns,Jaelan Phillips,DE,Miami
27,Baltimore Ravens,Deonte Brown,G,Alabama
28,New Orleans Saints,Jeremiah Owusu-Koramoah,ILB,Notre Dame
29,Green Bay Packers,Teven Jenkins,OT,Oklahoma State
30,Buffalo Bills,Joseph Ossai,OLB,Texas
31,Kansas City Chiefs,Trey Smith,OT/G,Tennessee
32,Tampa Bay Buccaneers,Travis Etienne,RB,Clemson
