Pick,Team,Player,Pos,College
1,Carolina Panthers (from CHI),Bryce Young,QB,Alabama
2,Houston Texans,CJ Stroud,QB,Ohio State
3,Arizona Cardinals,Will Anderson Jr,LB,Alabama
4,Indianpolis Colts,Will Levis,QB,Kentucky
5,Seattle Seahawks,Hendon Hooker,QB,Tennessee
6,Detroit Lions,Tyree Wilson,DE,Texas Tech
7,Las Vegas Raiders,Christian Gonzalez,CB,Oregon
8,Atlanta Falcons,Myles Murphy,DE,Alabama
9,Chicago Bears,Peter Skoronski,OT/G,Northwestern
10,Philadelphia Eagles,Broderick Jones,OT,Georgia
11,Tennessee Titans,Anthony Richardson,QB,Florida
12,Houston Texans,Quentin Johnston,WR,TCU
13,New York Jets,Paris Johnson Jr,OT,Oregon State
14,New England Patriots,Darnell Wright,OT,Tennessee
15,Green Bay Packers,Dawand Jones,OT,Ohio State
16,Washington Commanders,Dalton Kincaid,TE,Utah
17,Pittsburgh Steelers,Devon Witherspoon,CB,Illinois
18,Detroit Lions,Jalen Carter,DT,Georgia
19,Tampa Bay Buccaneers,Bijan Robinson,RB,Texas
20,Seattle Seahawks,Lukas Van Ness,DE,Iowa
21,Los Angeles Chargers,Jaxon Smith-Njigba,WR,Ohio State
22,Baltimore Ravens,Zay Flowers,WR,Boston College
23,Minnesota Vikings,Joey Porter Jr,CB,Penn State
24,Jacksonville Jaguars,Anton Harrison,OT,Oklahoma
25,New York Giants,Jalin Hyatt,WR,Tennessee
26,Dallas Cowboys,Michael Mayer,TE,Notre Dame
27,Buffalo Bills,Jahmyr Gibbs,RB,Alabama
28,Cincinnati Bengals,Emmanuel Forbes,CB,Mississippi State
29,New Orleans Saints ,Jordan Addison,WR,USC
30,Philadelphia Eagles,Nolan Smith,LB,Georgia
31,Kansas City Chiefs,Deonte Banks,CB,Maryland
