Pick,Team,Player,Pos,College
1,Tennessee Titans,Abdul Carter,Edge,Penn State
2,Cleveland Browns,Cam Ward,QB,Miami
3,New York Giants,Travis Hunter,WR/CB,Colorado
4,New England Patriots,Will Campbell,OT,LSU
5,Jacksonville Jaguars,Mason Graham,DT,Michigan
6,Las Vegas Raiders,Shedeur Sanders,QB,Colorado
7,New York Jets,Tyler Warren,TE,Penn State
8,Carolina Panthers,Jalon Walker,Edge,Georgia
9,New Orleans Saints,Mike Green,Edge,Marshall
10,Chicago Bears,Kelvin Banks Jr.,OT/OG,Texas
11,San Francisco 49ers,Will Johnson,CB,Michigan
12,Dallas Cowboys,Walter Nolen,DT,Mississippi
13,Miami Dolphins,Tyler Booker,OG,Alabama
14,Indianapolis Colts,Armand Membou,OT,Missouri
15,Atlanta Falcons,Mykel Williams,Edge,Georgia
16,Arizona Cardinals,Kenneth Grant,DT,Michigan
17,Cincinnati Bengals,Jahdae Barron,CB,Texas
18,Seattle Seahawks,Grey Zabel,IOL,North Dakota State
19,Tampa Bay Buccaneers,Tetairoa McMillan,WR,Arizona
20,Denver Broncos,Colston Loveland,TE,Michigan
21,Pittsburgh Steelers,Ashton Jeanty,RB,Boise State
22,Los Angeles Chargers,Omarion Hampton,RB,North Carolina
23,Green Bay Packers,Josh Simmons,OT,Ohio State
24,Minnesota Vikings,TreVeyon Henderson,RB,Ohio State
25,Houston Texans,Emeka Egbuka,WR,Ohio State
26,Los Angeles Rams,Darius Alexander,DT,Toledo
27,Baltimore Ravens,Shemar Stewart,Edge,Texas A&M
28,Detroit Lions,Donovan Jackson,OG,Ohio State
29,Washington Commanders,Jihaad Campbell,LB,Alabama
30,Buffalo Bills,Matthew Golden,WR,Texas
31,Kansas City Chiefs,Josh Conerly Jr.,OT,Oregon
32,Philadelphia Eagles,Malaki Starks,S,Georgia
