Pick,Team,Player,Position,College
1,Jacksonville Jaguars,Trevor Lawrence,QB,Clemson
2,New York Jets,Zach Wilson,QB,BYU
3,San Francisco 49ers,Trey Lance,QB,North Dakota St.
4,Atlanta Falcons,Kyle Pitts,TE,Florida
5,Cincinnati Bengals,Penei Sewell,OT,Oregon
6,Miami Dolphins,Ja'Marr Chase,WR,LSU
7,Detroit Lions,Micah Parsons,LB,Penn State
8,Carolina Panthers,Rashawn Slater,OL,Northwestern
9,Denver Broncos,Jaycee Horn,CB,South Carolina
10,Dallas Cowboys,Patrick Surtain II,CB,Alabama
11,New York Giants,Jaylen Waddle,WR,Alabama
12,Philadelphia Eagles,DeVonta Smith,WR,Alabama
13,Los Angeles Chargers,Kwity Paye,Edge,Michigan
14,Minnesota Vikings,Alijah Vera-Tucker,OG,USC
15,New England Patriots,Justin Fields,QB,Ohio State
16,Arizona Cardinals,Najee Harris,RB,Alabama
17,Las Vegas Raiders,Jeremiah Owusu-Koramoah,LB,Notre Dame
18,Miami Dolphins,Zaven Collins,LB,Tulsa
19,Washington Football Team,Mac Jones,QB,Alabama
20,Chicago Bears,Christian Darrisaw,OT,Virginia Tech
21,Indianapolis Colts,Jaelan Phillips,Edge,Miami
22,Tennessee Titans,Trevon Moehrig,S,TCU
23,New York Jets,Landon Dickerson,C,Alabama
24,Pittsburgh Steelers,Jamin Davis,LB,Kentucky
25,Jacksonville Jaguars,Christian Barmore,DT,Alabama
26,Cleveland Browns,Joe Tryon,Edge,Washington
27,Baltimore Ravens,Azeez Ojulari,Edge,Georgia
28,New Orleans Saints,Levi Onwuzurike,DT,Washington
29,Green Bay Packers,Jalen Mayfield,OT,Michigan
30,Buffalo Bills,Caleb Farley,CB,Virginia Tech
31,Baltimore Ravens,Teven Jenkins,OT,Oklahoma State
32,Tampa Bay Buccaneers,Gregory Rousseau,Edge,Miami
