Pick,Team,Player,Pos,College
1,Titans,Abdul Carter,EDGE,Penn State
2,Browns,Cam Ward,QB,Miami
3,Giants,Travis Hunter,CB/WR,Colorado
4,Patriots,Will Campbell,OT,LSU
5,Jaguars,Mason Graham,DT,Michigan
6,Raiders,Shedeur Sanders,QB,Colorado
7,Jets,Tyler Warren,TE,Penn State
8,Panthers,Jalon Walker,EDGE,Georgia
9,Saints,Mike Green,EDGE,Marshall
10,Bears,Kelvin Banks Jr.,OT,Texas
11,49ers,Will Johnson,CB,Michigan
12,Cowboys,Walter Nolen,DT,Ole Miss
13,Dolphins,Tyler Booker,G,Alabama
14,Colts,Armand Membou,OT,Missouri
15,Falcons,Mykel Williams,EDGE,Georgia
16,Cardinals,Kenneth Grant,DT,Michigan
17,Bengals,Jahdae Barron,CB,Texas
18,Seahawks,Grey Zabel,G,North Dakota State
19,Buccaneers,Tetairoa McMillan,WR,Arizona
20,Broncos,Colston Loveland,TE,Michigan
21,Steelers,Ashton Jeanty,RB,Boise State
22,Chargers,Omarion Hampton,RB,North Carolina
23,Packers,Josh Simmons,OT,Ohio State
24,Vikings,TreVeyon Henderson,RB,Ohio State
25,Texans,Emeka Egbuka,WR,Ohio State
26,Rams,Darius Alexander,DT,Toledo
27,Ravens,Shemar Stewart,EDGE,Texas A&M
28,Lions,Donovan Jackson,G,Ohio State
29,Commanders,Jihaad Campbell,LB,Alabama
30,Bills,Matthew Golden,WR,Texas
31,Chiefs,Josh Conerly Jr.,OT,Oregon
32,Eagles,Malaki Starks,S,Georgia
